region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
Clark County,Ohio,40.0334339,39.7830291,-83.6081931,-84.0527746,39.9239104674186,-83.8383465780509,978.35,5778,13.266531747207,71.6606722063748,24456,71209,32858,60736,64050,28,253309,7,63327.25,6214324.53569337,21476129.4760742,8931514.77861939,16898029.6294312,18643091.604657,7828.85029296875,72163090.0244751,"[[0,1794],[5,2221],[10,939],[15,388],[20,143],[25,83],[30,35],[35,38],[40,20],[45,16],[50,17],[55,5],[60,5],[65,6],[70,5],[75,8],[80,5],[85,7],[90,3],[95,4],[100,2],[110,1],[125,2],[130,1],[135,1],[140,1],[145,1],[150,3],[165,1],[175,1],[190,1],[205,1],[210,1],[225,1],[240,1],[245,1],[255,2],[270,2],[290,1],[300,1],[310,1],[325,1],[345,1],[355,1],[380,2],[530,1],[575,1],[650,1],[775,1]]",59740.4998132118,2
Clarke County,Virginia,39.2511836,39.009908,-77.8550186,-78.1413219,39.127344792103,-78.0079676523997,1012.35,115,7.67888307155323,65.3409090909091,806,1783,2641,2514,1143,40,8887,10,2221.75,209936.020550537,566968.138970947,776835.663757324,708392.048321533,330828.505187988,11720.0390625,2592960.37678833,"[[0,30],[5,27],[10,16],[15,18],[20,1],[25,6],[30,7],[35,2],[45,1],[50,1],[60,1],[75,1],[95,1],[105,1],[135,1],[360,1]]",1522.18830363768,0
Clarke County,Georgia,34.0335462,33.8501281,-83.2563087,-83.5305696,33.9510250391717,-83.3816119842631,1097.35,26933,93.3971774193548,80.7489356598909,134695,469190,334149,373970,1129926,38,2441930,9.5,610482.5,38488108.4746093,157873846.616951,102191875.165661,116879819.656159,374743436.581176,12010.271105957,790177086.494554,"[[0,5208],[5,8593],[10,5385],[15,2700],[20,1362],[25,712],[30,398],[35,306],[40,233],[45,216],[50,138],[55,162],[60,133],[65,118],[70,81],[75,78],[80,56],[85,57],[90,63],[95,45],[100,57],[105,36],[110,50],[115,41],[120,47],[125,25],[130,26],[135,21],[140,19],[145,18],[150,17],[155,16],[160,17],[165,13],[170,19],[175,26],[180,14],[185,13],[190,9],[195,12],[200,8],[205,6],[210,10],[215,13],[220,7],[225,11],[230,6],[235,3],[240,8],[245,7],[250,5],[255,7],[260,10],[265,4],[270,7],[275,6],[280,5],[285,8],[290,7],[295,2],[300,6],[305,1],[310,5],[315,5],[320,3],[325,5],[330,5],[335,2],[340,5],[345,5],[350,3],[355,7],[360,3],[365,1],[370,5],[375,2],[380,3],[390,6],[400,3],[410,1],[415,1],[420,3],[425,2],[430,4],[440,1],[445,1],[450,3],[455,2],[460,1],[465,3],[470,2],[475,1],[480,2],[485,2],[490,1],[495,1],[505,5],[510,1],[515,1],[520,3],[525,2],[530,3],[535,1],[540,2],[545,5],[550,2],[570,2],[575,2],[585,1],[595,2],[600,1],[605,2],[610,1],[615,1],[630,2],[635,1],[640,2],[645,2],[655,1],[660,2],[680,3],[695,2],[705,1],[710,1],[725,2],[735,1],[740,2],[760,1],[765,2],[775,2],[780,1],[785,2],[790,2],[795,1],[825,2],[830,3],[835,2],[845,2],[885,1],[890,1],[895,2],[900,1],[905,1],[920,1],[950,3],[975,1],[980,1],[985,1],[990,1],[995,46],[1000,8]]",469828.295428597,33
Clay County,Minnesota,47.0824086,46.6443305,-96.1778878,-96.7997473,46.8550732215631,-96.6966742561747,969.85,10892,83.4854436229205,75.3615166401439,20276,168306,134090,175298,405060,37,903030,9.25,225757.5,4975907.15589599,50818889.5520508,35413116.1199278,48018530.9897094,113914518.940271,10431.3083251953,253140962.757855,"[[0,2196],[5,3559],[10,2332],[15,1060],[20,446],[25,229],[30,146],[35,104],[40,88],[45,62],[50,45],[55,45],[60,46],[65,50],[70,42],[75,32],[80,22],[85,22],[90,28],[95,16],[100,23],[105,12],[110,17],[115,10],[120,11],[125,13],[130,12],[135,12],[140,8],[145,10],[150,11],[155,9],[160,8],[165,8],[170,6],[175,5],[180,6],[185,2],[190,5],[195,3],[200,3],[205,1],[210,2],[215,2],[220,3],[225,3],[235,2],[240,3],[245,6],[250,2],[255,2],[265,3],[270,4],[275,5],[280,5],[285,4],[290,2],[300,1],[305,2],[310,1],[315,2],[320,2],[325,1],[335,1],[340,1],[350,1],[365,1],[370,1],[375,1],[380,2],[385,1],[390,1],[395,3],[400,1],[405,1],[425,1],[440,1],[445,1],[450,1],[455,3],[470,1],[480,1],[520,1],[540,1],[550,1],[555,1],[565,1],[580,1],[610,1],[630,1],[640,1],[670,1],[685,1],[690,1],[695,2],[700,1],[705,1],[710,1],[735,1],[755,1],[765,1],[770,1],[800,1],[875,1],[885,1],[915,1],[970,1],[980,2],[990,1],[995,10],[1000,7]]",128263.294718627,5
Clay County,Texas,34.0802435,33.526036,-98.0326684,-98.4229416,33.9050804065515,-98.2518478165574,1190.85,360,25.2531268612269,84.9056603773585,1600,8037,1793,2725,8887,37,23042,9.25,5760.5,499771.408892822,3027937.85079346,598652.275994873,964270.950396729,3184898.74713745,12994.3422119141,8275531.23321534,"[[0,82],[5,115],[10,73],[15,37],[20,20],[25,16],[30,6],[35,3],[40,1],[45,1],[50,2],[70,1],[305,1],[355,1],[1000,1]]",4024.27869256826,0
Clay County,Missouri,39.4553898,39.1139203,-94.2110122,-94.6014849,39.2352166535343,-94.5121500721325,1074.4,43176,85.593419506463,69.7354394805698,39546,603618,320262,418853,1469135,25,2851414,6.25,712853.5,11141683.7773377,199418681.147845,93907730.1377631,125715174.457416,465718415.523914,8002.93469238281,895901685.044278,"[[0,13790],[5,19354],[10,5463],[15,1306],[20,542],[25,362],[30,270],[35,202],[40,192],[45,162],[50,135],[55,105],[60,101],[65,71],[70,66],[75,46],[80,47],[85,39],[90,36],[95,27],[100,23],[105,30],[110,31],[115,17],[120,21],[125,16],[130,26],[135,20],[140,23],[145,17],[150,14],[155,17],[160,15],[165,10],[170,8],[175,7],[180,11],[185,15],[190,13],[195,8],[200,12],[205,10],[210,10],[215,8],[220,8],[225,5],[230,8],[235,10],[240,10],[245,9],[250,3],[255,2],[260,1],[265,7],[275,2],[280,9],[290,6],[295,5],[300,5],[305,4],[310,3],[315,6],[320,4],[325,5],[330,3],[335,7],[340,7],[345,3],[350,5],[355,4],[360,4],[365,2],[370,4],[375,2],[380,6],[385,3],[390,2],[395,2],[400,5],[405,2],[410,5],[420,3],[425,1],[430,1],[435,4],[440,2],[445,3],[450,3],[455,1],[460,6],[465,2],[470,3],[475,4],[480,2],[485,2],[490,2],[495,3],[500,2],[505,2],[510,1],[515,2],[520,5],[525,4],[530,2],[535,3],[540,2],[545,4],[550,4],[555,1],[570,1],[575,4],[580,4],[585,3],[590,1],[595,5],[600,1],[605,1],[615,2],[620,4],[625,1],[630,2],[635,2],[640,2],[645,4],[650,1],[655,3],[660,2],[665,3],[670,1],[675,1],[680,1],[690,3],[695,1],[700,3],[705,2],[720,1],[725,1],[740,1],[755,2],[760,2],[765,2],[770,1],[775,3],[780,1],[785,2],[790,3],[795,3],[805,2],[820,1],[825,3],[835,2],[860,1],[875,2],[880,1],[885,1],[900,3],[905,3],[915,1],[920,1],[925,1],[935,1],[940,2],[945,3],[950,1],[970,1],[980,2],[985,2],[990,2],[995,61],[1000,49]]",665370.750928355,202
Clay County,Florida,30.1912658,29.7209215,-81.6069533,-82.0491629,30.1025080299585,-81.7775644032353,1110.0576259843,48358,86.4316255807851,86.3643669744432,298908,884857,636249,759208,599082,49,3178304,12.25,794576,87731360.5651183,304729660.041264,198560322.846436,239554738.83273,202093475.799554,15637.9102783203,1032669558.08511,"[[0,5020],[5,12451],[10,14031],[15,8986],[20,4056],[25,1458],[30,566],[35,315],[40,214],[45,155],[50,124],[55,97],[60,75],[65,76],[70,43],[75,33],[80,42],[85,44],[90,30],[95,32],[100,31],[105,28],[110,15],[115,25],[120,24],[125,17],[130,20],[135,14],[140,13],[145,20],[150,17],[155,9],[160,6],[165,14],[170,13],[175,11],[180,9],[185,8],[190,5],[195,6],[200,6],[205,3],[210,3],[215,6],[220,5],[225,3],[230,6],[235,4],[240,3],[245,3],[250,4],[255,5],[260,1],[265,3],[270,5],[275,3],[280,2],[290,4],[295,4],[300,1],[305,3],[310,3],[320,3],[325,2],[330,5],[335,1],[340,3],[345,1],[350,1],[355,2],[360,1],[365,1],[375,3],[380,3],[385,1],[390,2],[395,2],[400,1],[410,1],[415,3],[425,2],[430,2],[435,1],[445,3],[450,2],[455,1],[465,2],[475,1],[480,1],[485,3],[490,1],[495,1],[500,1],[505,2],[515,1],[535,1],[540,1],[545,1],[555,1],[560,1],[565,1],[575,1],[585,1],[600,1],[605,2],[620,1],[640,2],[665,1],[675,1],[680,1],[715,1],[740,3],[745,1],[770,2],[775,1],[800,1],[805,1],[820,2],[830,1],[860,1],[865,1],[930,1],[995,23],[1000,9]]",551983.069506596,494
Clayton County,Georgia,33.648185,33.3540614,-84.2441171,-84.4587165,33.550432057443,-84.3600113554115,1099.05,58122,99.2035387678697,69.8556542432364,191006,837962,495235,679763,2560638,29,4764604,7.25,1191151,54540489.4052185,280055904.824498,149306728.741077,211489655.207898,850835229.975727,9299.0265625,1546228008.15441,"[[0,15722],[5,23217],[10,9225],[15,3311],[20,1347],[25,765],[30,504],[35,442],[40,353],[45,333],[50,252],[55,190],[60,179],[65,181],[70,131],[75,109],[80,97],[85,102],[90,81],[95,70],[100,66],[105,56],[110,57],[115,61],[120,47],[125,40],[130,28],[135,34],[140,27],[145,20],[150,26],[155,22],[160,21],[165,16],[170,17],[175,29],[180,8],[185,18],[190,24],[195,24],[200,22],[205,13],[210,10],[215,9],[220,14],[225,12],[230,12],[235,8],[240,10],[245,18],[250,11],[255,9],[260,13],[265,9],[270,7],[275,13],[280,10],[285,8],[290,10],[295,14],[300,6],[305,14],[310,5],[315,7],[320,8],[325,4],[330,2],[335,10],[340,10],[345,4],[350,7],[355,6],[360,4],[365,9],[370,6],[375,1],[380,3],[385,4],[390,5],[395,4],[400,6],[405,3],[410,4],[415,6],[420,6],[425,6],[430,6],[435,4],[440,3],[445,1],[450,2],[455,2],[460,5],[465,5],[470,3],[475,3],[480,2],[485,2],[490,3],[495,7],[500,5],[505,2],[515,5],[520,7],[525,1],[530,2],[535,11],[540,5],[545,1],[550,3],[555,5],[560,4],[565,2],[570,3],[575,2],[580,2],[590,1],[595,5],[600,1],[610,3],[615,4],[620,5],[630,2],[635,2],[640,3],[650,4],[655,5],[660,4],[665,5],[670,3],[675,4],[680,1],[685,3],[690,3],[695,5],[700,1],[715,5],[720,1],[725,3],[730,1],[735,2],[740,2],[745,2],[750,4],[760,4],[765,3],[770,5],[775,2],[785,1],[790,3],[795,5],[800,4],[805,2],[820,2],[830,1],[835,2],[840,4],[845,1],[850,1],[870,1],[875,2],[880,2],[885,3],[890,1],[895,1],[905,2],[910,1],[920,5],[925,1],[930,3],[935,2],[940,2],[945,1],[950,1],[960,3],[965,1],[970,2],[980,3],[990,5],[995,92],[1000,122]]",919365.648323128,30
Clearfield County,Pennsylvania,41.2427022,40.7251079,-78.1073748,-78.8043492,41.0022668988677,-78.5175902408742,935.85,2221,19.3136053230608,67.1199758235116,12611,33315,29144,26570,193962,26,295602,6.5,73900.5,3077969.95106201,9873080.78364258,7927960.76289673,7103987.61535034,55286632.9405762,6971.9619934082,83269632.0535278,"[[0,876],[5,504],[10,223],[15,111],[20,68],[25,70],[30,38],[35,30],[40,31],[45,22],[50,19],[55,11],[60,23],[65,14],[70,12],[75,6],[80,12],[85,7],[90,6],[95,5],[100,6],[105,3],[110,1],[115,4],[120,1],[125,6],[130,3],[135,6],[140,3],[145,4],[150,3],[155,4],[160,3],[165,3],[170,2],[175,4],[180,2],[185,2],[190,1],[195,4],[200,2],[205,1],[210,3],[215,3],[220,1],[225,1],[235,1],[245,4],[250,1],[255,1],[260,2],[265,2],[280,1],[285,1],[320,1],[325,1],[330,1],[345,2],[365,1],[385,2],[425,1],[440,2],[445,1],[455,1],[505,1],[520,1],[565,1],[605,1],[625,1],[630,1],[655,1],[690,1],[730,1],[755,1],[785,1],[835,1],[855,1],[910,1],[950,1],[990,1],[995,13],[1000,2]]",52914.5729731668,3
Clermont County,Ohio,39.2705022,38.7721725,-83.9950714,-84.3193681,39.0919535561246,-84.2009081817266,986.85,46823,74.4585601935874,76.0854728631784,162352,684625,458365,540440,1013098,32,2858880,8,714720,41418047.2806945,205979682.500464,125394292.518793,151086775.108338,300127061.075744,9096.24573974609,824005858.484037,"[[0,11596],[5,17470],[10,9261],[15,3566],[20,1393],[25,702],[30,460],[35,323],[40,247],[45,224],[50,165],[55,141],[60,114],[65,74],[70,76],[75,64],[80,72],[85,63],[90,65],[95,30],[100,38],[105,33],[110,24],[115,33],[120,24],[125,25],[130,27],[135,25],[140,24],[145,17],[150,19],[155,24],[160,15],[165,13],[170,17],[175,10],[180,6],[185,13],[190,6],[195,7],[200,6],[205,12],[210,8],[215,6],[220,2],[225,8],[230,6],[235,3],[240,4],[245,6],[250,6],[255,5],[260,3],[265,6],[270,3],[275,4],[280,3],[285,1],[290,4],[295,3],[300,6],[305,2],[310,3],[315,3],[320,1],[325,3],[330,2],[335,4],[340,2],[345,3],[350,3],[365,3],[370,3],[375,6],[380,3],[385,3],[390,2],[395,1],[400,1],[410,1],[415,1],[420,1],[425,3],[430,2],[435,4],[440,3],[445,1],[450,2],[455,1],[460,2],[465,3],[470,5],[475,2],[485,2],[500,1],[505,1],[510,3],[515,2],[520,1],[525,1],[530,1],[540,1],[545,2],[555,1],[560,1],[575,1],[580,3],[585,1],[590,2],[605,3],[615,1],[620,1],[630,2],[635,4],[640,1],[650,3],[655,1],[660,1],[665,2],[670,1],[675,1],[680,3],[685,1],[695,1],[730,2],[735,2],[755,1],[780,1],[795,1],[805,1],[810,3],[825,1],[860,2],[865,1],[870,2],[875,1],[885,1],[890,2],[895,1],[905,2],[940,1],[970,1],[980,1],[985,1],[990,2],[995,43],[1000,10]]",682156.512673651,32
Cleveland County,Oklahoma,35.37712,34.9982921,-97.1430155,-97.6685028,35.281126564536,-97.4757117995066,1157.7,78674,93.3279422316883,96.0129849525879,192586,1497834,803771,1333841,1702275,46,5530307,11.5,1382576.75,57762064.4823609,552777676.832083,251433371.608009,443236961.512203,587660780.198291,15719.3948974609,1892870854.63295,"[[0,6709],[5,23020],[10,25560],[15,12399],[20,4302],[25,1741],[30,852],[35,575],[40,472],[45,378],[50,266],[55,220],[60,182],[65,185],[70,128],[75,125],[80,106],[85,116],[90,87],[95,70],[100,66],[105,57],[110,59],[115,56],[120,52],[125,45],[130,35],[135,42],[140,28],[145,32],[150,29],[155,23],[160,24],[165,24],[170,24],[175,14],[180,23],[185,14],[190,16],[195,11],[200,13],[205,17],[210,11],[215,4],[220,13],[225,20],[230,8],[235,12],[240,5],[245,9],[250,18],[255,12],[260,3],[265,9],[270,6],[275,5],[280,6],[285,8],[290,11],[295,6],[300,2],[305,6],[310,3],[315,3],[320,4],[325,5],[330,2],[335,8],[340,5],[345,1],[350,11],[355,4],[360,2],[365,4],[370,5],[375,9],[380,2],[385,4],[390,2],[395,2],[400,6],[405,2],[415,4],[420,2],[425,3],[430,5],[435,2],[440,4],[450,4],[455,2],[460,4],[465,4],[470,3],[475,2],[480,3],[485,5],[490,3],[495,5],[500,3],[505,1],[510,2],[515,3],[525,1],[530,4],[535,4],[540,2],[545,2],[555,1],[560,1],[565,2],[570,1],[585,2],[590,3],[595,3],[600,2],[605,1],[610,2],[615,3],[620,1],[630,1],[635,4],[645,1],[655,3],[660,2],[670,1],[675,2],[680,1],[685,1],[690,2],[700,1],[710,2],[720,1],[725,1],[740,2],[750,1],[760,1],[770,1],[775,3],[790,1],[795,1],[800,1],[810,1],[815,1],[830,1],[835,1],[845,1],[860,1],[870,2],[895,1],[900,3],[920,1],[925,1],[930,1],[945,4],[970,1],[990,3],[995,45],[1000,18]]",1280478.64679347,132
Cleveland County,North Carolina,35.5361051,35.1681781,-81.3233738,-81.748513,35.2797232188949,-81.4970157763732,1099.05,6157,50.6285267333371,67.9430589273891,28032,95882,68726,76560,391787,37,660987,9.25,165246.75,7917007.14067383,32454934.8733031,21068818.1848389,23697103.2522827,129124389.684168,11628.5762817383,214262253.135266,"[[0,1528],[5,1757],[10,1018],[15,536],[20,287],[25,155],[30,112],[35,63],[40,59],[45,57],[50,59],[55,36],[60,28],[65,39],[70,26],[75,35],[80,22],[85,24],[90,13],[95,16],[100,8],[105,14],[110,11],[115,10],[120,8],[125,9],[130,6],[135,5],[140,11],[145,5],[150,8],[155,6],[160,3],[165,6],[170,4],[175,2],[180,8],[185,1],[190,7],[195,7],[200,7],[205,9],[210,1],[215,2],[220,1],[225,5],[235,4],[240,2],[245,7],[255,3],[260,4],[265,4],[270,3],[275,3],[280,5],[295,3],[310,1],[315,2],[320,2],[330,4],[335,1],[340,1],[350,2],[355,1],[360,2],[365,2],[370,1],[375,2],[380,1],[385,1],[390,1],[400,3],[405,1],[410,3],[425,1],[430,1],[435,3],[445,1],[475,2],[480,2],[490,2],[495,2],[525,3],[530,1],[540,1],[545,1],[550,2],[570,1],[580,3],[585,1],[615,1],[635,1],[660,1],[710,1],[715,1],[730,1],[740,1],[765,1],[780,1],[790,1],[865,1],[875,1],[910,1],[920,1],[970,1],[995,8],[1000,4]]",125781.90494277,10
Clinton County,Michigan,43.1134994,42.7696054,-84.3649252,-84.8357358,42.8575085458439,-84.5524426742565,956.25,6783,64.373500109083,76.6267510167194,37301,119220,80109,109337,162511,36,508478,9,127119.5,9157873.94976197,35014817.9090088,21163838.339801,29710092.2376953,46275760.4931884,9693.1573059082,141322382.929455,"[[0,1545],[5,2284],[10,1343],[15,602],[20,256],[25,136],[30,70],[35,69],[40,62],[45,44],[50,50],[55,23],[60,32],[65,24],[70,22],[75,15],[80,18],[85,14],[90,8],[95,4],[100,3],[105,9],[110,8],[115,7],[120,7],[125,7],[130,6],[135,3],[140,5],[145,6],[150,4],[155,1],[160,8],[165,3],[170,4],[175,2],[180,3],[190,8],[195,4],[200,1],[205,2],[210,1],[220,1],[225,2],[240,1],[245,1],[250,2],[255,1],[260,3],[270,2],[275,1],[290,2],[295,2],[305,2],[315,1],[320,1],[340,2],[350,1],[365,2],[375,2],[395,1],[405,1],[420,1],[455,1],[480,1],[505,1],[510,2],[515,1],[530,1],[535,2],[620,1],[635,1],[675,1],[690,1],[760,2],[865,1],[880,1],[915,1],[950,1],[960,1],[990,1],[995,5],[1000,2]]",111309.921428901,18
Clinton County,New York,45.0096558,44.4411875,-73.3500181,-73.9996486,44.7314013042405,-73.5139892672706,958.8,4352,47.5870253164557,72.3524522028263,11473,58563,54799,62926,388890,29,576651,7.25,144162.75,2831137.01876221,17462952.9018616,14457030.6675049,16769899.9150452,108594984.963556,7991.16729736328,160116005.46673,"[[0,1351],[5,1280],[10,544],[15,266],[20,135],[25,103],[30,72],[35,39],[40,38],[45,34],[50,40],[55,30],[60,23],[65,23],[70,17],[75,17],[80,15],[85,15],[90,15],[95,17],[100,8],[105,14],[110,9],[115,10],[120,7],[125,6],[130,6],[135,12],[140,11],[145,9],[150,7],[155,2],[160,5],[165,10],[170,3],[175,2],[180,2],[185,3],[190,4],[195,8],[200,3],[205,3],[210,1],[215,2],[220,5],[225,5],[230,1],[235,2],[240,1],[245,5],[250,2],[255,3],[260,4],[265,3],[270,1],[275,1],[280,1],[285,1],[290,3],[295,3],[300,1],[310,3],[315,1],[320,1],[335,1],[350,2],[355,2],[360,1],[365,1],[375,1],[380,2],[385,1],[395,3],[400,1],[405,2],[410,2],[420,1],[430,1],[440,2],[490,1],[495,1],[510,1],[515,2],[530,1],[550,1],[560,2],[565,1],[570,1],[575,1],[600,1],[620,1],[625,1],[635,1],[645,1],[655,1],[660,1],[675,1],[690,1],[710,1],[735,1],[740,2],[770,1],[775,1],[780,1],[800,1],[820,1],[850,1],[860,2],[865,1],[875,1],[915,1],[940,2],[970,1],[980,1],[995,12],[1000,9]]",58509.3849880525,0
Cobb County,Georgia,34.0813328,33.7471096,-84.3835682,-84.7393712,33.9466388101893,-84.5629124296076,1073.55,148013,96.4590066948264,66.7510000496079,441612,2262249,1174152,1581845,4535488,28,9995346,7,2498836.5,123666913.193436,729645910.269202,345424451.467502,476703256.738769,1478237974.06357,8522.88608398438,3153678505.73246,"[[0,45301],[5,55740],[10,22604],[15,9108],[20,3953],[25,1990],[30,1244],[35,940],[40,759],[45,641],[50,495],[55,387],[60,330],[65,310],[70,267],[75,242],[80,198],[85,185],[90,182],[95,118],[100,110],[105,104],[110,120],[115,95],[120,92],[125,79],[130,85],[135,74],[140,65],[145,55],[150,69],[155,55],[160,54],[165,45],[170,48],[175,36],[180,43],[185,45],[190,40],[195,44],[200,43],[205,30],[210,32],[215,20],[220,39],[225,39],[230,18],[235,34],[240,25],[245,22],[250,22],[255,29],[260,21],[265,24],[270,25],[275,31],[280,18],[285,19],[290,18],[295,21],[300,18],[305,15],[310,16],[315,18],[320,23],[325,14],[330,19],[335,9],[340,13],[345,9],[350,14],[355,6],[360,6],[365,11],[370,8],[375,9],[380,19],[385,8],[390,15],[395,12],[400,5],[405,11],[410,6],[415,6],[420,5],[425,9],[430,10],[435,6],[440,9],[445,5],[450,10],[455,11],[460,6],[465,9],[470,8],[475,15],[480,6],[485,2],[490,8],[495,10],[500,11],[505,11],[510,6],[515,7],[520,3],[525,9],[530,8],[535,9],[540,8],[545,9],[550,5],[555,7],[560,9],[565,4],[570,5],[575,11],[580,6],[585,3],[590,9],[600,4],[605,5],[610,10],[615,4],[620,5],[625,8],[630,7],[635,5],[640,6],[645,6],[650,3],[655,5],[660,1],[665,2],[670,8],[675,4],[680,7],[685,6],[690,9],[695,2],[700,4],[705,9],[710,2],[715,5],[720,5],[725,4],[730,5],[735,3],[740,2],[745,3],[750,1],[755,8],[760,3],[765,2],[770,5],[775,5],[780,3],[785,2],[790,5],[795,5],[800,6],[805,1],[810,5],[815,5],[820,2],[825,1],[830,4],[835,3],[840,1],[845,4],[855,4],[860,1],[865,1],[870,5],[875,1],[885,4],[890,4],[895,3],[900,4],[905,1],[910,2],[915,1],[920,3],[925,2],[930,3],[935,3],[940,5],[945,1],[950,2],[955,3],[965,2],[970,2],[975,3],[980,1],[985,1],[990,15],[995,176],[1000,99]]",1875133.33656797,316
Cochise County,Arizona,32.3831254,31.333997,-109.1407632,-110.4300025,31.5908879668074,-110.064663627951,1426.3,4846,16.4668130383381,82.8376068376068,21363,42980,27318,43008,141975,37,276644,9.25,69161,7902987.06324463,19712897.2918823,11019268.2378601,17429168.1505615,60138911.9026061,15147.2768310547,116203232.646155,"[[0,1055],[5,1576],[10,981],[15,554],[20,273],[25,111],[30,74],[35,49],[40,18],[45,25],[50,23],[55,13],[60,10],[65,7],[70,4],[75,3],[80,3],[85,4],[90,5],[95,5],[100,4],[105,3],[110,2],[115,2],[120,3],[125,1],[130,3],[135,1],[140,2],[145,3],[150,1],[155,3],[160,1],[170,1],[180,1],[185,2],[190,2],[195,1],[205,2],[230,1],[245,1],[250,1],[275,2],[315,1],[325,1],[355,1],[380,1],[395,1],[400,1],[610,1],[935,1],[995,1],[1000,1]]",50040.9437445897,19
Cocke County,Tennessee,36.1143474,35.7520091,-82.9576752,-83.2805149,35.9403696460394,-83.198020730722,1014.9,1,0.021881838074398,100,0,52,30,52,0,134,134,33.5,33.5,0,15995.9823242188,8384.16010742187,17428.1360351563,0,41808.2784667969,41808.2784667969,"[[30,1]]",31.9255183944301,0
Coconino County,Arizona,36.9955693,34.3206381,-110.7673535,-113.2310241,35.3551345423124,-111.657306340339,1396.55,18145,73.5643211534772,67.6118791221075,38890,284531,179402,202154,600794,32,1305771,8,326442.75,13676408.0096008,121662222.937341,69671254.3334166,77836903.2371035,242164607.590216,13074.0035644531,525011396.107679,"[[0,4750],[5,6187],[10,3290],[15,1328],[20,625],[25,395],[30,240],[35,177],[40,141],[45,102],[50,90],[55,80],[60,66],[65,47],[70,31],[75,38],[80,38],[85,26],[90,35],[95,19],[100,27],[105,24],[110,10],[115,22],[120,18],[125,19],[130,11],[135,14],[140,10],[145,7],[150,11],[155,13],[160,16],[165,7],[170,8],[175,8],[180,1],[185,10],[190,4],[195,2],[200,6],[205,7],[210,4],[215,9],[220,2],[225,4],[230,5],[235,6],[240,4],[245,7],[250,3],[255,5],[260,2],[265,1],[270,6],[275,4],[280,4],[285,2],[295,2],[300,2],[305,2],[315,2],[320,1],[325,3],[330,2],[335,4],[340,1],[350,3],[355,2],[360,2],[365,1],[370,3],[380,1],[385,2],[390,2],[395,3],[400,2],[405,1],[415,2],[420,1],[425,2],[435,1],[445,2],[450,1],[455,1],[465,2],[475,3],[480,1],[500,1],[505,2],[510,1],[520,3],[560,1],[565,1],[570,1],[580,1],[595,1],[600,2],[610,1],[635,1],[650,1],[655,1],[670,1],[680,1],[690,1],[700,1],[710,1],[730,1],[740,1],[745,1],[765,1],[775,1],[785,1],[835,2],[850,1],[865,2],[915,1],[930,1],[945,1],[960,1],[975,1],[990,4],[995,16],[1000,1]]",161565.469206802,187
Coffee County,Tennessee,35.6460341,35.3290203,-85.917058,-86.2626201,35.4251564856944,-86.1470179102675,1037.85,4847,64.6332295134787,80.5417082087072,33557,71314,59551,63172,350222,42,577816,10.5,144454,9160243.4984558,23202701.5579773,17667062.413446,18909174.9503479,111524469.260675,12430.4893371582,180463651.680902,"[[0,1016],[5,1274],[10,809],[15,456],[20,272],[25,158],[30,132],[35,61],[40,74],[45,71],[50,46],[55,44],[60,38],[65,28],[70,21],[75,23],[80,19],[85,19],[90,17],[95,15],[100,11],[105,16],[110,8],[115,17],[120,9],[125,22],[130,12],[135,6],[140,5],[145,5],[150,7],[155,6],[160,6],[165,5],[170,2],[175,5],[180,5],[185,1],[190,2],[195,5],[200,2],[205,3],[210,4],[220,3],[225,1],[230,1],[235,1],[240,1],[245,2],[250,1],[255,2],[260,3],[265,1],[270,1],[275,3],[280,2],[285,3],[295,1],[305,1],[310,2],[330,1],[340,1],[355,1],[365,1],[370,1],[380,2],[390,2],[395,1],[410,1],[430,1],[460,1],[470,1],[485,2],[495,1],[500,1],[510,1],[525,1],[545,2],[580,2],[585,1],[600,1],[615,1],[625,3],[635,1],[640,1],[655,1],[660,1],[680,1],[685,1],[695,1],[730,1],[765,1],[790,1],[805,1],[815,1],[840,1],[880,1],[945,1],[990,3],[995,12],[1000,1]]",137805.139138657,3
